timestamp: 20231031225128
trade_count: 112187
total_profit: 2655524.0
size of result_df: 15464
ratio: 0.13784128285808517
average days_held: 10.560653195111733
average profit: 23.670514408977866
Source code for 'gen_signal_func':
def gen_daily_buy_signal_five(data):
    """
    前辈指标

    :param data:
    :return:
    """
    # 效果：
    # 任然无法避免买入后继续跌，概率增加，持有天数减少

    # 还需继续优化
    K,D,J = KDJ(data['收盘'],data['最高'],data['最低'])
    data['J'] = J
    data['买'] = data['J'].apply(lambda x: 10 if x < 0 else 0)
    # data['Buy_Signal'] = (9.9 < data['买'].shift(1)) & (9.9 > data['买']) & (data['日期'] > '2013-01-01')
    # data['Buy_Signal'] = (9.9 < data['买'].shift(2)) & (9.9 > data['买'].shift(1)) & (data['涨跌幅'] < 0) & (data['日期'] > '2013-01-01')
    # 再往前判断前两天是否有穿越，并且连续两天是否都下跌
    data['Buy_Signal'] = (9.9 < data['买'].shift(3)) & (9.9 > data['买'].shift(2)) & (data['涨跌幅'] < 0) & (data['日期'] > '2013-01-01')
    return data




           名称      代码   Buy Date  Buy Price  Sell Date  Sell Price  Profit  Total_Profit  Growth Rate (%)  Days Held  Buy_Index
7609     广西广电  600936 2017-04-07      11.16 2023-10-20        3.69  -747.0 -6.530000e+02       -66.935484       1589        154
14847    雷柏科技  002577 2017-04-07      31.17 2023-10-20       14.90 -1627.0 -9.220000e+02       -52.197626       1589       1291
1870     中原内配  002448 2017-04-07      10.93 2023-10-20        6.86  -407.0 -8.580000e+02       -37.236962       1589       1620
6598     威星智能  002849 2017-04-07      26.09 2023-10-20       17.85  -824.0 -8.240000e+02       -31.582982       1589         33
5924     多伦科技  603528 2017-04-07      20.17 2023-10-20        7.71 -1246.0 -1.219000e+03       -61.774913       1587        226
6096     大连友谊  000679 2017-04-07      12.20 2023-10-20        5.11  -709.0 -1.480000e+03       -58.114754       1587       4672
11403    申华控股  600653 2016-12-09       4.22 2023-10-20        1.85  -237.0  4.000000e+00       -56.161137       1585       6089
7573     广济药业  000952 2017-04-13      15.65 2023-10-20        7.46  -819.0 -3.420000e+02       -52.332268       1585       4020
15288    鹭燕医药  002788 2017-04-07      15.10 2023-10-20        9.46  -564.0 -2.012000e+03       -37.350993       1583        277
4614     华立股份  603038 2017-04-13      20.69 2023-10-20        9.15 -1154.0 -1.073000e+03       -55.775737       1582         56
